Model Name,Sequence Size,MAE,MSE,Sequence Accuracy (toler. 25),Book Accuracy (toler. 25),included_branches,embedding_dim,count_conv1D,conv1D_1_filters,conv1D_1_kernel,pool_size,dense_units_branch,dense_units,dropout
Model 1,5000,55.54481887817383,5283.955078125,29.91612301957129,24.637681159420293,B,40,3,32,21,2,32,64,0.4
Model 2,5000,55.54481887817383,5283.955078125,29.916123019571295,24.637681159420293,A,40,3,32,21,2,32,64,0.4
